NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
25031,"FORM BAR,ZONE PERFECT CLASSIC CRUNCH BAR,MXD FLAVORS",7,422,30,14,4,45,2,27,200,3.6,80,300,250,520,7.5,0.774,0.846,3.9,120,0.75,1.7,20,5,2,160,160,0,272,73,4.2,3500,1050,1050,0,0,0,0,2,24,0,0,1.6,4.499,3.828,4.804,8,50,1 bar,,,0
25032,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CHEWY,MXD FLAVORS",9.23,390,16.67,7.69,2.99,63.42,7.7,42.31,103,1.62,321,255,429,321,1.4,0.382,0.562,11.3,0.4,0.135,0.151,0.68,0.503,0.095,39,1,38,39,48.4,0.16,63,17,16,0,5,1,0,43,0.81,0.2,7,3.6,3.227,2.558,1.228,6,78,1 bar,,,0
25033,"SNACKS,GRANOLA BAR,KASHI TLC BAR,CHEWY,MXD FLAVORS",9.34,429,18.57,15.71,3.11,53.26,11.4,17.14,0,3.39,107,271,415,293,1.6,0.506,0.779,9.1,0,0.115,0.289,1.158,0.389,0.063,45,1,44,46,46.7,0,8,2,1,0,1,1,0,38,7.14,0,0,2.7,1.213,9.486,4.181,0,35,1 bar,,,0
25034,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CRUNCHY,MXD FLAVORS",9.43,393,17.88,9.23,3.89,59.58,5.9,27.3,434,5.2,86,263,300,486,4.83,0.79,1.108,6.1,19.3,0.259,0.179,1.888,0.316,1.073,215,70,144,264,43.8,3.22,179,50,50,3,7,0,0,64,10.27,0,0,1.7,4.687,2.498,1.268,0,47,1 bar,,,0
25035,"SNACKS,GRANOLA BAR,CHEWY,RED SUGAR,ALL FLAVORS",11.65,412,5.55,12.5,0.9,69.4,3.1,20.8,417,2.03,48,159,199,312,1.34,0.163,1.133,5.7,0.1,0.19,0.116,1.049,0.418,0.089,17,0,17,17,15.5,0.09,1,0,0,0,1,0,0,47,1.52,0,0,2.3,5.008,5.303,1.44,0,24,1 bar,,,0
25036,"SNACKS,GRANOLA BITES,MXD FLAVORS",7.88,451,7.17,17.5,1.12,66.27,5.7,30,41,1.56,69,216,285,167,1.92,0.247,1.682,20,0.2,0.199,0.146,2.318,0.45,0.143,33,7,26,38,31.2,0.07,10,2,2,0,3,0,0,82,2.51,0,1,9.1,9.888,3.194,2.546,0,20,1 package,,,0
25037,"SNACKS,PITA CHIPS,SALTED",2,457,11.79,15.2,2.75,68.26,3.8,4.76,17,4.59,37,124,129,854,0.96,0.141,0.656,33.1,0,0.56,0.307,7.043,0.5,0.109,135,114,22,215,9.1,0,0,0,0,0,0,0,0,15,6.93,0,0,1.2,1.342,10.842,2.13,0,28.35,1 oz,262,1 bag,0
25038,"SNACKS,GRANOLA BARS,SOFT,ALMOND,CONFECTIONERS COATING",8.74,455,8.6,20,2.53,60.13,4.3,34,136,1.49,95,192,320,486,1.41,0.337,0.933,6.5,0.2,0.102,0.36,1.318,0.379,0.072,18,0,18,18,27.1,0.14,19,5,5,0,1,0,0,15,7.6,0,0,1.5,5.668,9.491,3.643,0,35,1 bar,,,0
25039,"SNACKS,GRANOLA BARS,QUAKER OATMEAL TO GO,ALL FLAVORS",9.86,389,6.67,6.67,1.33,75.47,4.6,31.54,333,6,69,167,238,367,1.42,0.173,1.547,16,0.9,0.5,0.567,6.667,0.628,0.667,75,54,20,113,47.3,0.08,793,236,235,2,3,1,0,58,2.25,0.1,4,6.9,1.299,1.531,2.559,36,60,1 bar,,,0
25040,"SNACKS,VEG CHIPS,MADE FROM GARDEN VEG",6.31,473,5.32,23.3,4.64,60.43,4.7,4.04,52,1.55,53,130,838,357,0.5,0.232,0.275,1,4.9,0.133,0.059,2.767,0.474,0.545,16,0,16,16,31.5,0,170,9,0,0,102,0,7248,0,4.84,0,0,17.5,1.762,14.566,6.602,0,28.35,1 oz,,,0
25041,"SNACKS,GRANOLA BAR,KASHI TLC BAR,CRUNCHY,MXD FLAVORS",2.74,446,15,15,4.48,62.78,10,20,0,2.7,97,333,545,400,2.86,0.678,3.137,18.9,0,0.486,0.163,2.403,0.979,0.536,81,0,81,81,25.5,0,17,1,0,4,8,0,0,73,2.3,0,0,9.8,1.436,7.932,5.006,0,40,2 bar,20,1 bar,0
25043,"SNACKS,CANDY BITS,YOGURT COVERED W/ VIT C",3.73,415,0,7.5,1.87,86.9,0.2,65,500,0.19,23,190,338,75,0.86,0.021,0.021,6,180,0.079,0.343,0.173,0.62,0.069,10,0,10,10,57.8,0.76,3,1,1,0,0,0,0,2,0.6,0,0,13.5,1.389,0.983,3.886,3,20,1 package,,,0
25045,"Formulated bar, high fiber, chewy, oats and chocolate",12.04,350,5,10,3.14,69.78,22.5,25,250,0.9,190,419,447,350,1.96,0.262,3.407,8.9,1.2,0.688,0.091,7.903,1.755,0.963,35,12,22,43,12.4,0,0,0,0,0,0,0,0,65,1.47,0,0,2.6,3.397,3.522,2.334,0,40,1 bar,,,0
25046,"SNACKS,BAGEL CHIPS,PLN",5.05,451,12.34,15.14,1.1,66.36,4.1,6.02,24,5.05,39,131,140,233,1,0.167,0.672,36.2,0,0.523,0.337,7.66,0.467,0.117,142,112,30,220,17.8,0,0,0,0,0,0,0,0,14,0.81,0,0,5.2,6.835,6.05,2.085,0,28.35,1 oz,175,1 bag,0
25048,"SNACKS,NUTRI-GRAIN FRUIT & NUT BAR",11.26,403,9.38,10.93,1.72,66.72,7.5,32.45,65,5.65,105,290,328,195,3.28,0.436,1.441,11.3,0.2,0.465,0.616,6.442,0.261,0.612,127,109,18,203,24,1.16,896,267,266,0,5,0,0,40,3.72,0.8,31,1.2,1.93,5.705,2.581,0,32,1 bar,,,0
25050,"SNACKS,YUCCA (CASSAVA) CHIPS,SALTED",2.8,515,1.34,25.91,2.7,69.23,3.7,3.36,52,0.72,46,99,868,296,0.85,0.115,0.282,4.9,,0.05,0.027,1.197,0.89,0.13,,,,,,,,,,,,,,,2.78,,,5.3,8.689,7.443,6.912,,28.35,1 oz,17,10 chips,0
25051,"Snacks, CLIF BAR, mixed flavors",11,346,14.71,5.88,2.65,65.44,7.4,31.62,368,6.62,147,294,412,195,4.41,0.441,2.146,20.6,88.2,0.551,0.375,4.412,2.206,0.588,118,0,118,118,46.2,1.32,20,1,0,0,12,0,0,37,0.24,0,0,36.8,1.471,1.093,2.182,0,68,1 bar,,,0
25052,"SNACKS,GRANOLA BAR,QUAKER,CHEWY,90 CAL BAR",6.23,408,4.17,8.33,2.1,79.17,4.2,29.17,333,1.5,71,152,224,313,1.23,0.307,1.389,10.1,0.5,0.189,0.076,1.064,0.506,0.122,17,0,17,17,24.4,0.03,54,3,0,1,32,0,0,32,2.23,0,0,2.8,2.083,2.945,1.929,0,24,1 bar,,,0
25053,"Snac, grano bar, GENER MILLS NATURE VALL, SWE&SAL NUT, peanu",3.7,487,9.14,22.86,2.76,61.14,2.9,33.14,57,1.44,102,272,390,414,1.77,0.339,1.157,10,0.3,0.357,0.528,3.413,0.644,0.32,55,33,21,78,49.1,0.25,473,142,142,0,0,0,0,9,6.89,0,0,11.7,6.857,9.083,5.141,0,35,1 bar,,,0
25054,"Snack,gran bar,GENERAL MILLS, NATURE VALLEY, w yogu coati",7.18,423,5.71,11.43,1.43,74.29,4.4,40,286,1.03,62,191,168,271,1.58,0.173,1.297,12.3,0,0.905,0.542,7.302,0.499,0.708,126,112,14,205,19.6,0.01,1582,475,475,0,0,0,0,0,1.7,0,0,6.9,1.372,6.372,3.476,0,35,1 bar,,,0
25055,"Snac, grano bar, GENER MILLS, NATUR VALLE, CHEWY TRAIL MIX",9.3,415,5.71,11.43,1.29,72.27,3.8,42.86,116,8.71,63,168,189,185,1.35,0.226,1.057,10.5,0.1,0.64,0.391,5.443,0.422,0.52,92,72,21,142,28.6,0,1007,302,302,0,1,0,0,0,2.66,0,0,7.5,1.435,4.585,4.028,0,35,1 bar,,,0
25056,"Snacks, granola bar, QUAKER, DIPPS, all flavors",5.56,480,7.52,20.42,1.55,64.96,3.2,37.61,65,1.16,55,162,231,269,1.2,0.217,1.138,14.6,0.3,0.132,0.097,1.007,0.393,0.115,12,0,12,12,20.2,0.06,15,4,4,0,1,0,0,43,4.19,0.1,3,2,8.693,3.499,7.051,0,31,1 bar,,,0
25059,"Snacks, brown rice chips",5.8,384,8.2,2.8,1.7,81.5,4.2,0.6,11,1.49,131,360,290,326,3,0.445,3.73,24.6,0,0.061,0.165,7.806,1,0.15,21,0,21,21,24.3,0,2,0,0,0,1,0,0,22,6.54,0,0,6.5,0.642,1.03,0.98,0,9,1 cake,18,2 cakes,0
25060,"SNACK,PRETZEL,HARD CHOC COATD",3.06,467,7.05,17.64,2.17,70.07,3.5,38.8,141,2.54,35,128,199,494,1.33,0.262,0.452,14.5,0,0.36,0.317,2.398,0.364,0.031,74,58,16,114,39.7,0.32,83,25,25,0,0,0,0,9,0.62,0,0,11.1,8.611,3.293,2.82,0,28,1 serving,,,0
25062,"Snack, Mixed Berry Bar",15.52,383,13.16,10.53,1.97,58.84,7.9,26.32,105,1.89,91,343,446,447,2.64,0.244,1.963,19.8,0.6,0.283,0.285,0.858,1.104,0.116,28,0,28,28,39.8,0.51,97,27,26,0,6,0,0,104,0.29,0.1,2,1.6,3.846,2.897,2.058,0,38,1 bar,,,0
25063,"Snacks, potato chips, fr dried potatoes, multigrain",2.27,505,5.3,24.74,2.36,65.34,2.7,4.08,26,0.85,40,127,330,544,0.91,0.141,0.761,8.4,0.7,0.132,0.085,2.558,0.603,0.252,16,0,16,16,32.9,0,0,0,0,0,0,0,0,0,9.08,0,0,7.3,6.307,4.285,10.614,0,28.35,1 oz,28,"16.5 pieces,  average",0
25064,"SNACKS,POTATO CHIPS,LIGHTLY SALTED",1.35,560,6.72,35.39,3,53.54,4.2,0.34,24,1.43,62,148,1304,187,1.51,0.299,0.478,7.8,27.3,0.158,0.173,5.476,0.815,0.651,58,0,58,58,12.1,0,0,0,0,0,0,0,0,0,7.72,0,0,22.1,5.49,14.938,12.416,0,28,23 pieces,227,1 bag,0
25065,"SNACKS,PRETZELS,GLUTEN- FREE MADE W/ CORNSTARCH & POTATO FLR",6.91,389,3.52,6.67,4.28,78.62,3.3,4.22,0,0.46,7,21,69,1567,0.09,0.052,0.065,2.2,0.3,0.015,0.003,0.232,0.031,0.051,2,0,2,2,2.9,0,0,0,0,0,0,0,0,0,1.07,0,0,0.5,3.307,2.406,0.63,0,,,,,0
25066,"SNACKS,PEAS,RSTD,WASABI-FLAVORED",6.93,432,14.11,14.11,2.65,62.2,3.8,14.11,123,3.8,102,270,732,300,3.31,0.444,1.254,7.2,0,0.614,0.314,5.06,0.479,0.548,138,0,138,138,57.9,0,1537,77,0,42,901,0,0,4930,2.31,0,0,50.3,5.29,5.792,1.951,0,,,,,0
25067,"FORMULATED BAR,SOUTH BEACH PROT BAR",12.16,412,30.34,15.17,3.93,38.4,7.3,15.17,322,5.4,71,445,793,436,2.39,0.846,1.024,9,27.9,0.176,0.437,1.268,1.987,0.226,184,0,184,184,108.2,0.61,6720,391,66,0,3901,0,0,11713,4.61,0,0,350.6,3.384,4.29,5.326,3,,,,,0
25068,"SNACK,BALANCE,ORIGINAL BAR",7.76,415,28,12,3.51,48.73,3.1,34.89,543,10.9,119,465,678,253,3.52,0.771,0.712,23.3,11.2,1.628,1.708,8.991,0.702,0.89,126,0,126,126,91.2,1.24,5000,1496,1495,0,10,0,0,0,5.84,1.6,65,1.3,1.149,8.115,1.969,1,,,,,0
25070,"SNACKS,SHRIMP CRACKER",13.6,426,7.14,17.86,2.31,59.09,5.6,21.43,20,1.91,72,191,193,571,1.38,0.221,2.14,33.1,0,0.264,0.091,2.631,0.321,0.216,23,0,23,23,17.6,0.02,0,0,0,0,0,0,0,116,3.28,0,0,12.8,5.357,7.997,3.971,2,,,,,0
25071,RICE CRACKERS,0.11,416,10,5,2.24,82.64,0,0,0,0,156,362,243,233,2.2,0.301,4.071,25.5,0,0.436,0.101,5.537,1.624,0.554,22,0,22,22,33.4,0,0,0,0,0,0,0,0,0,1.26,0,0,2.1,0,3.021,1.641,0,,,,,0
27000,"SOUP,EGG DROP,CHINESE RESTAURANT",92.87,27,1.16,0.61,1.07,4.29,0.4,0.09,7,0.26,2,15,22,370,0.09,0.019,0.011,0.4,6.5,0.019,0.019,0.156,0.12,0.02,7,0,7,7,33,0.03,89,20,18,1,16,1,0,48,0.13,0.2,6,1.2,0.166,0.191,0.129,23,241,1 cup,,,0
27001,"SOUP,HOT & SOUR,CHINESE RESTAURANT",90.65,39,2.58,1.21,1.2,4.35,0.5,0.42,19,0.64,9,32,55,376,0.22,0.026,0.085,0.4,0,0.026,0.031,0.507,0.227,0.064,8,0,8,8,39.9,0.1,34,9,9,0,1,1,0,22,0.39,0.1,5,1.1,0.229,0.288,0.311,21,233,1 cup,,,0
27002,"SOUP,WONTON,CHINESE RESTAURANT",91.18,32,2.08,0.26,1.22,5.25,0.2,0.34,5,0.21,3,18,32,406,0.12,0.024,0.034,1.1,0.7,0.024,0.016,0.58,0.14,0.076,13,7,6,18,19,0.09,13,1,1,0,6,0,0,12,0.06,0,0,0.9,0.062,0.077,0.071,4,223,1 cup,,,0
27007,"CAMPBELL'S CHNKY,HEALTHY REQUST MICROWAVBL ,CHICK NODLE SOUP",88.5,49,2.86,1.02,0.7,6.94,0.4,0.41,8,0.29,,,286,167,,,,,1,,,,,,,,,,,,408,,,,,,,,,,,,0.408,0.408,0.204,6,245,1 serving,,,0
27008,"HLTHY RQST MCRWVBL BWL,GRLL CHICK SSAGE GMB",86.8,53,2.86,1.22,1.75,7.35,0.8,1.63,16,0.29,,,249,167,,,,,2.4,,,,,,,,,,,,306,,,,,,,,,,,,0.408,0.612,0.204,4,245,1 cup,,,0
27009,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUES",81.1,53,2.04,1.22,7.47,8.16,0.8,0.82,41,0.29,,,408,167,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.408,0.408,0.408,4,245,1 cup,,,0
27013,"CAMPBELL'S RED & WHITE,CHICK BARLEY W/",81.8,71,3.17,1.19,1.14,12.7,2.4,1.59,0,0,,,,571,,,,,0,,,,,,,,,,,,238,,,,,,,,,,,,0.397,,,4,126,.5 cup,126,1 serving,0
27014,"CAMPBELL'S RED & WHITE,ITALIAN STYLE W",83.2,71,3.17,1.98,2.12,9.52,2.4,1.59,32,0.57,,,,643,,,,,0,,,,,,,,,,,,397,,,,,,,,,,,,0.794,,,8,126,.5 cup,126,1 serving,0
27015,"CAMPBELL'S RED & WHITE,PHINEAS & FERB SOUP,COND",85.7,56,2.38,1.59,1.6,8.73,0.8,0.79,16,0.57,,,40,627,,,,,0,,,,,,,,,,,,397,,,,,,,,,,,,0.397,0.794,0.397,4,126,".5 cup, serving",,,0
27017,"CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST ITA",88.5,41,2.45,1.02,2.4,5.31,0.8,1.63,16,0.29,,,216,167,,,,,0,,,,,,,,,,,,408,,,,,,,,,,,,0.408,0.204,0,4,245,1 cup,,,0
27018,"CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX",87.7,53,2.86,1.02,0.49,7.76,1.2,1.22,16,0.44,,,216,167,,,,,0.5,,,,,,,,,,,,122,,,,,,,,,,,,0.204,0.204,0,4,245,1 cup,,,0
27019,CAMPBELL'S HOMESTYLE HARVEST TOMATO W/ BASIL SOUP,87.9,45,0.82,0.41,1.7,9.39,0.8,6.53,8,0.29,,,,322,,,,,7.3,,,,,,,,,,,,204,,,,,,,,,,,,0.204,,,2,245,1 cup,,,0
27021,CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,89.84,40,3.8,0.82,1.26,4.28,0.7,0.32,11,0.31,9,45,265,167,0.2,0.025,0.054,5,0,0.015,0.019,1.82,,,,,,,,,408,,,,,,,,,,,,0.204,0.408,0.204,4,246,1 cup,499,1 can,0
27022,"CAMPBELL'S SOUP ON THE GO,HR CHICK W/ MINI NOODLES SOUP",94,20,0.98,0.66,1.4,2.62,0.7,0.66,7,0.12,,,,134,,,,,0,,,,,,,,,,,,328,,,,,,,,,,,,0.164,0.328,,3,305,1 container,,,0
27023,"CAMPBELL'S SOUP ON THE GO,HEALTHY REQUEST CLASSIC TOMAT SOUP",89,39,0.98,0,1.16,9.18,0.7,5.57,7,0.24,,,344,134,,,,,11.8,,,,,,,,,,,,164,,,,,,,,,,,,0,,,0,305,1 container,,,0
27027,"PACE,PICO DE GALLO",88,31,0,0,2.62,9.38,,6.25,0,0,,,,469,,,,,3.8,,,,,,,,,,,,313,,,,,,,,,,,,0,,,0,32,1 serving,32,2 tbsp,0
27028,"PACE,SALSA VERDE",88.1,47,0,1.56,4.09,6.25,0,6.25,0,0,,,203,719,,,,,3.8,,,,,,,,,,,,625,,,,,,,,,,,,0,,,0,32,1 serving,32,2 tbsp,0
27029,"PACE,TEQUILA LIME SALSA",88.6,47,0,0,2.03,9.38,0,6.25,0,0,,,313,594,,,,,7.5,,,,,,,,,,,,625,,,,,,,,,,,,0,,,0,32,1 serving,32,2 tbsp,0
27030,"PACE,TRIPLE PEPPER SALSA",86.2,47,3.13,0,1.3,9.38,3.1,6.25,,,,,,594,,,,,7.5,,,,,,,,,,,,625,,,,,,,,,,,,0,,,0,32,1 serving,32,2 tbsp,0
27032,"CAMPBELL'S RED & WHITE,LENTIL SOUP,COND",71.2,111,6.35,0.79,2.61,19.05,4,1.59,32,2.14,,,270,635,,,,,0,,,,,,,,,,,,595,,,,,,,,,,,,0.397,0,0.397,0,126,.5 cup,126,1 serving,0
27033,"PREGO PASTA,HEART SMART- TRADITIONAL S",85.4,54,1.54,1.15,1.7,10,2.3,7.7,15,0.55,,,292,277,,,,,1.8,,,,,,,,,,,,385,,,,,,,,,,,,0,0.769,0.385,0,130,.5 cup,,,0
27034,"CAMPBELL'S,98% FAT FREE CRM OF MUSHROOM SOUP,COND",87.41,53,1.1,1.98,1.87,7.63,1.2,0.25,8,0.31,21,27,435,392,0.18,,,,0.1,,,,,,,,,,,,0,,,,,,,,,,,,0.34,0.41,1.12,0,124,".5 cup, condensed",,,0
27035,"SOUP,RAMEN NOODLE,DRY,ANY FLAVOR,RED FAT,RED NA",12.08,350,10.89,2.5,3.59,70.95,2.7,0.85,22,4.52,23,117,128,1200,0.74,0.165,,30.9,1.2,0.582,0.41,4.906,,0.065,122,98,24,191,13.1,0,2,0,0,0,1,0,0,16,0.24,0,0,0.9,0,0.685,1.438,0,40,"1.41 oz, dry (half noodle block)",,,0
27042,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,RTS",83.85,79,2.61,3.94,1.32,8.28,1,0.23,15,0.48,10,65,175,343,0.23,0.033,0.06,3,,0.015,0.015,0.497,,,,,,,6.6,,9,0,,0,5,0,0,20,,,,,,,,,254,1 cup,521,1 can,0
27043,"SOUP,CLAM CHOWDER,NEW ENGLAND,RED NA,CND,RTS",86.53,70,2.33,4.23,1.23,5.68,0.8,0,14,0.56,13,31,337,194,0.27,0.025,0.076,4.3,3.3,0.015,0.015,0.422,,0.13,6,0,6,6,6.6,4.63,33,8,7,0,5,0,0,20,0.4,0,0,8.2,0.701,0.908,1.997,3,519,1 can,256,1 cup,0
27044,"SOUP,CHICK NOODLE,RED NA,CND,RTS",90.46,41,3.29,1.34,1.07,3.84,0.8,0.34,11,0.33,8,42,285,186,0.18,0.025,0.053,4.5,0.4,0.032,0.022,1.396,,0.06,8,4,4,10,5.7,0.15,964,49,1,142,506,0,0,58,0.1,0,0,2.3,0.394,0.594,0.325,4,245,1 cup,516,1 can,0
27045,"SOUP,BF & VEG,RED NA,CND,RTS",89.75,42,3.26,0.95,1.05,4.99,0.8,1.22,17,0.45,9,43,277,175,0.41,0.026,0.048,3,,0.015,0.015,0.907,,,,,,,,,,,,,,,,,,,,,,,,,245,1 cup,525,1 can,0
27046,"SAUCE,DUCK,RTS",37.44,245,0.36,0.13,1.4,60.61,0.6,30.54,11,0.39,5,9,87,455,0.21,0.037,0.429,1.3,0.9,0.023,0.014,0.239,,0.032,2,0,2,2,1.7,0,168,8,0,0,100,0,0,1,0.2,0,0,0.3,0.051,0.018,0.027,0,33,2 Tbsp,,,0
27047,"SAUCE,SALSA,VERDE,RTS",89.52,38,1.13,0.89,2.1,6.36,1.9,3.5,9,0.65,19,41,259,600,0.25,0.081,0.156,0.8,12.3,0.046,0.036,1.615,0.154,0.083,8,0,8,8,7.9,0,217,11,0,10,123,5,0,422,0.43,0,0,13.6,0,0,0,0,30,2 Tbsp,,,0
27048,"SAUCE,STEAK,TOMATO BSD",71,95,1.25,0.23,5.08,22.04,1.5,9.82,19,1.37,17,33,312,1647,0.34,0.189,0.174,0.8,6.8,0.034,0.054,0.913,,0.105,8,0,8,8,11.5,0,295,15,0,0,177,0,12564,0,1.16,0,0,2.2,0,0,0,0,34,2 Tbsp,,,0
27049,"SAUCE,TARTAR,RTS",67,211,1,16.7,1.96,13.3,0.5,4.25,26,0.25,6,17,68,667,0.12,0.023,0.107,0.9,2.3,0.016,0.029,0.093,0.073,0.044,5,0,5,5,8,0.02,165,11,3,15,67,35,0,55,1.68,0,2,50.4,3.333,3.605,9.044,7,30,2 tablespoons,,,0
27050,"SAUCE,SWT & SOUR,RTS",60.27,150,0.27,0.02,1.22,38.22,0.1,18.75,10,0.21,8,7,99,371,0.09,0.079,0.761,0.4,8.7,0.048,0.019,0.187,0.093,0.053,8,0,8,8,2.4,0,10,1,0,0,6,0,0,0,0.01,0,0,0.2,0,0,0,0,35,2 Tbsp,,,0
27051,"SAUCE,COCKTAIL,RTS",65.67,124,1.36,1.05,3.7,28.22,1.8,11.83,26,0.83,17,30,309,983,0.38,0.111,0.148,2.2,11.6,0.021,0.047,0.82,0.068,0.08,17,0,17,17,11,0,359,18,0,7,212,0,6753,2,1.08,0,0,4.4,0,0,0,0,60,.25 cup,,,0
27052,"DIP,SALSA CON QUESO,CHS & SALSA- MED",73.72,143,3.14,9.51,2.49,11.14,0.7,1.95,98,0.14,8,200,105,796,0.41,0.004,0.019,3.2,0.4,0.012,0.065,0.136,0.571,0.043,6,0,6,6,7.9,0.25,287,33,22,0,112,30,300,67,1.86,0,0,17.6,2.491,2.762,3.643,9,30,2 tbsp,125,.5 cup,0
27053,"DIP,OLD EL PASO,CHS 'N SALSA,MED",76.09,129,2.7,8.43,2.12,10.65,0.6,1.3,81,0.12,6,143,83,690,0.3,0.004,0.014,2.6,0.8,0.01,0.07,0.115,0.525,0.033,,,,,,,308,29,17,0,133,37,204,74,1.95,,,8.1,2.313,2.181,3.709,5,32,2 tbsp,124,.5 cup,0
27054,"DIP,TOSTITOS,SALSA CON QUESO,MED",74.68,133,2.92,8.26,2.42,11.72,0.6,1.4,90,0.14,7,177,88,773,0.44,0.004,0.019,3,0.6,0.01,0.05,0.15,0.66,0.043,,,,,,,259,33,24,0,95,25,332,59,1.92,,,1.5,2.442,2.213,3.139,9,30,2 tbsp,125,.5 cup,0
27055,"SAUCE,BARBECUE,SWT BABY RAY'S,ORIGINAL",50.14,192,0.95,0.43,2.39,46.08,1.3,38.37,11,0.33,11,22,235,765,0.19,0.057,0.113,,1.4,0.02,0.067,0.743,0.17,0.07,,,,,,,274,14,,0,164,0,7343,129,1.08,,,,0.037,0.023,0.05,,18,1 tbsp,144,.5 cup,0
27056,"SAUCE,BARBECUE,BULL'S-EYE,ORIGINAL",55.28,170,0.91,0.67,3.19,39.95,1,35.29,43,0.69,16,22,263,1012,0.17,0.089,0.136,,0.3,0.03,0.063,0.637,0.195,0.09,,,,,,,320,16,,0,190,5,4573,100,0.91,,,,0.101,0.216,0.349,,16,1 tbsp,148,.5 cup,0
27057,"SAUCE,BARBECUE,KC MASTERPIECE,ORIGINAL",58.36,160,1,0.52,2.2,37.92,1.4,30.95,40,1.09,16,24,277,613,0.22,0.072,0.178,,0.2,0.027,0.073,0.787,0.205,0.093,,,,,,,277,14,,0,164,5,4494,99,0.96,,,,,,,,18,1 tbsp,138,.5 cup,0
27058,"SAUCE,BARBECUE,OPEN PIT,ORIGINAL",64.96,132,0.44,1.41,3.74,29.45,0.5,23.49,20,0.15,5,17,56,1517,0.12,0.015,0.071,,,0.015,0.022,0.16,0.05,0.015,,,,,,,28,1,,0,17,0,460,19,0.21,,,,,,,,17,1 tbsp,137,.5 cup,0
27059,"SAUCE,PNUT,MADE FROM PNUT BUTTER,H2O,SOY SAU",51.4,257,6.31,16.02,4.25,22.02,1.8,17.07,22,0.91,45,107,235,1338,0.78,0.123,0.484,3.4,0,0.06,0.127,3.2,0.31,0.19,22,0,22,22,28.9,0,0,0,0,0,0,0,0,0,2.23,0,0,1,2.907,6.986,4.786,0,18,1 tbsp,,,0
27060,"SOUP,CHUNKY VEG,RED NA,CND,RTS",86.91,50,1.16,0.51,1.14,10.28,1.1,2.78,25,0.4,12,28,349,138,0.24,0.046,0.089,0.8,0.7,0.05,0.1,0.61,0.22,0.07,10,0,10,10,10.6,0.02,1122,58,2,195,572,0,659,116,0.18,0,0,6.2,0.217,0.111,0.097,1,240,1 cup,,,0
27061,"GRAVY,HEINZ HOME STYLE,CLASSIC CHICK",90.73,46,0.67,2.57,1.03,5.01,,0,10,0.07,3,22,35,372,0.08,0.019,0.012,0.4,,0.03,0.057,0.28,0.13,0.027,,,,,,0,,,,,,,,,0.11,,,0.8,0.656,1.105,0.429,4,58,.25 cup,230,1 cup,0
27062,"SOUP,BF BARLEY,READY TO SERVE",87.35,52,2.81,0.96,0.94,7.94,0.9,1.22,11,0.45,9,50,121,297,0.5,0.058,0.088,2.2,0.5,0.027,0.085,0.933,0.177,0.078,11,0,11,11,9,0.15,279,14,0,58,139,0,357,56,0.12,0,0,0.4,0.329,0.349,0.232,4,208,1 cup,527,1 can,0
27063,"SAUCE,ENCHILADA,RED,MILD,READY TO SERVE",91.78,30,0.62,0.91,1.82,4.87,0.5,1.83,7,0.67,6,11,101,547,0.09,0.031,0.047,0.4,0.3,0.04,0.055,0.388,0.082,0.059,5,0,5,5,0.9,0,717,36,0,74,362,62,994,103,0.7,0,0,2.8,0.111,0.068,0.276,0,56,.25 cup,224,1 cup,0
27064,WASABI,31.7,292,2.23,10.9,9.04,46.13,6.1,13.2,41,0.5,21,26,182,3390,0.61,0.055,0.137,2.2,0,0.05,0.07,0.16,0,0.05,10,0,10,10,2.3,0,1,0,0,0,0,0,0,3,3.44,0,0,3.1,2.031,4.41,3.627,0,20,1 tablespoon,6.5,1 teaspoon,0
